Reference, Quantity, Value, Footprint, Datasheet, Supplier 2, Supplier 2 Part Number, Supplier 1, Supplier 1 Part Number, Supplier 5, Supplier 5 Part Number
C1 C1201 ,2,"1N","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C1202 C1203 C1301 C1304 C1305 C1306 C1307 C1308 C1309 C1310 C1311 C1312 C1313 ,13,"100N","Capacitor_SMD:C_0805_2012Metric","~"
C1302 C1303 ,2,"4.7u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","Reichelt","KEM X7R1210 4,7U","","","",""
C2 C3 ,2,"1.5u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","Reichelt","ECC KTS101B155K1","","","",""
C203 C303 C403 C503 C603 C703 C803 C903 C1003 C1103 ,10,"1N","Capacitor_SMD:C_0805_2012Metric","~"
D1 ,1,"1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","","","Conrad","1582022","",""
D2 D1202 ,2,"Z1SMA15","Diode_SMD:D_SOD-523","","","","Conrad","556861","",""
D1302 ,1,"Red","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Reichelt","RND 135-00184","","","",""
D201 D301 D401 D501 D601 D701 D801 D901 D1001 D1101 D1301 ,11,"Green","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Reichelt","OSO LGR971","","","",""
D3 D4 ,2,"D","Diode_SMD:D_SMA_Handsoldering","~","Reichelt","M2 DIO","","","",""
H1 H2 H3 H4 H5 H6 H1202 H1204 ,8,"MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom","~"
J101 ,1,"Conn_01x11","Connector_JST:JST_PH_S11B-PH-K_1x11_P2.00mm_Horizontal","~"
J1301 ,1,"Conn_01x05","Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical","~","","","Conrad","741246","",""
J1302 ,1,"Conn_01x04","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~","","","Conrad"," 741223","",""
Q1204 Q1205 Q1206 Q1207 Q1208 Q1209 ,6,"IRFB4410ZPBF","GatzeLib:TO-220-3_Horizontal_TabDown_modified","","","","Conrad","160946","",""
Q201 Q301 Q401 Q501 Q601 Q701 Q801 Q901 Q1001 Q1101 Q1201 ,11,"BC847","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","Conrad","153157","",""
Q202 Q302 Q402 Q502 Q602 Q702 Q802 Q902 Q1002 Q1102 ,10,"IRLML6244TRPBF","Package_TO_SOT_SMD:SOT-23","","","","Conrad","161189","",""
R1 R1307 R1308 R1309 ,4,"330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R1201 R1209 R1211 R1303 ,4,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R1205 R1207 R1208 ,3,"100K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R1212 R1213 ,2,"0.005","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","Conrad","454322","",""
R3 R4 R5 R1216 R1301 R1302 R1304 ,7,"100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R2 R1217 R1218 ,3,"1M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R202 R302 R402 R502 R602 R702 R802 R902 R1002 R1102 ,10,"22K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R203 R303 R403 R503 R603 R703 R803 R903 R1003 R1103 ,10,"620","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R201 R204 R205 R301 R304 R305 R401 R404 R405 R501 R504 R505 R601 R604 R605 R701 R704 R705 R801 R804 R805 R901 R904 R905 R1001 R1004 R1005 R1101 R1104 R1105 R1203 R1204 R1305 R1306 ,34,"1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R206 R306 R406 R506 R606 R706 R806 R906 R1006 R1106 R1202 ,11,"47K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R207 R208 R209 R210 R307 R308 R309 R310 R407 R408 R409 R410 R507 R508 R509 R510 R607 R608 R609 R610 R707 R708 R709 R710 R807 R808 R809 R810 R907 R908 R909 R910 R1007 R1008 R1009 R1010 R1107 R1108 R1109 R1110 ,40,"10","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","Conrad","443148","",""
R211 R311 R411 R511 R611 R711 R811 R911 R1011 R1111 ,10,"91K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R212 R312 R412 R512 R612 R712 R812 R912 R1012 R1112 ,10,"6K8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
SW1301 ,1,"SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","","","Aliexpress","1005001861089000"
U1201 ,1,"MCP607","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Reichelt","MCP 607-I/SN","","","",""
U1301 ,1,"MCP1703A-1202_SOT89","Package_TO_SOT_SMD:SOT-89-3","http://ww1.microchip.com/downloads/en/DeviceDoc/20005122B.pdf","Reichelt","MCP 1703-3302MB","","","",""
U1302 ,1,"E73-2G4M04S1B","GatzeLib:E73-2G4M04S1B","http://infocenter.nordicsemi.com/pdf/nRF52832_PS_v1.4.pdf"
U1303 ,1,"74HC4051","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/cd74hc4051.pdf","","","Conrad","144444","",""
U201 U301 U401 U501 U601 U701 U801 U901 U1001 U1101 ,10,"PC817","Package_DIP:SMDIP-4_W9.53mm_Clearance8mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","","","Conrad","140234","",""